Номер;ГК/Филиал;Подразделение;Департамент;Отдел;Должность;ФИО;Ставка;ФОТ;Регион;Квалификация;Свобода_решений;Правила_подразделения;Правила_компании;Люди_в_адм_подчинении;Люди_в_функц_подчинении_внешние;Цель_общения_компания;Год_влияние_на_финрезультат;Стоимость_ошибки
7321391;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел аналитики и исследований;Специалист;Гурин Тимур Геннадиевич;1;85000;москва;3;2;1;1;1;1;1;1;1
908994;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел клиентского маркетинга;Главный эксперт;Варфоломеева Майя Станиславовна;1;100000;москва;4;2;2;2;1;1;1;1;1
7448585;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел клиентского маркетинга;Главный эксперт;Сукина Анисья Марковна;1;250000;москва;4;3;2;2;1;1;2;3;2
8054277;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел клиентского маркетинга;Руководитель отдела;Кучава Марфа Тимуровна;1;400000;москва;5;5;3;4;2;1;3;5;3
825776;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел маркетинговых коммуникаций и PR;Ведущий специалист;Горелов Иван Ефремович;1;85000;москва;3;3;2;1;1;1;2;1;1
5154887;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел маркетинговых коммуникаций и PR;Ведущий специалист;Окрокверцхов Потап Панкратиевич;1;80500;москва;3;3;2;1;1;1;2;1;1
6578945;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел маркетинговых коммуникаций и PR;Ведущий специалист;Николаевский Александр Мечиславович;1;100000;москва;3;3;2;2;1;1;2;1;1
1505130;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел маркетинговых коммуникаций и PR;Заместитель руководителя отдела;Колобова Берта Игнатиевна;1;150000;москва;4;4;2;2;2;1;3;1;1
8113307;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел маркетинговых коммуникаций и PR;Заместитель руководителя отдела;Комарова Зинаида Святославовна;1;150000;москва;4;3;2;2;1;1;3;1;1
7158352;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел маркетинговых коммуникаций и PR;Руководитель отдела;Татаринцева Евгения Николаевна;1;160000;москва;4;3;2;1;1;1;2;1;1
6570967;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел маркетинговых коммуникаций и PR;Специалист;Кочнев Владимир Адамович;1;60000;москва;2;2;1;1;1;1;1;1;1
7830309;Головная компания;Блок развития бизнеса;Департамент маркетинга;Отдел маркетинговых коммуникаций и PR;Специалист;Званцова Милена Антониновна;1;90000;москва;3;3;2;1;1;1;2;1;1
4391091;Головная компания;Блок развития бизнеса;Департамент маркетинга;;Руководитель департамента;Шипицина Евдокия Мироновна;1;350000;москва;4;4;1;1;2;1;1;1;2
9438211;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел организации агентских и офисных продаж;Аналитик;Яфраков Пахом Тарасович;1;55000;москва;2;2;1;1;1;1;1;1;1
1621161;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел организации агентских и офисных продаж;Главный специалист;Чудов Адам Леонович;1;150000;москва;5;3;2;3;1;1;3;1;1
4607600;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел организации агентских и офисных продаж;Главный специалист;Щепетинникова Доминика Михеевна;1;130000;москва;4;3;2;1;1;1;3;1;1
4840173;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел организации агентских и офисных продаж;Главный специалист;Цуцкова Алина Тимуровна;1;160000;москва;5;3;2;3;1;1;3;1;1
4915351;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел организации агентских и офисных продаж;Главный специалист;Прудникова Тамара Елизаровна;1;300000;москва;5;3;2;3;1;1;3;1;1
7407797;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел организации агентских и офисных продаж;Главный специалист;Сьянов Валерьян Гаврилевич;1;100000;москва;2;2;2;1;2;1;2;1;1
8322662;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел организации агентских и офисных продаж;Главный специалист;Бережной Евдоким Остапович;1;130000;москва;4;3;2;1;4;1;2;3;1
7470319;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел организации агентских и офисных продаж;Руководитель отдела;Жернаков Мир Никанорович;1;400000;москва;5;4;3;3;2;4;3;5;2
5358250;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с VIP-клиентами;Главный менеджер по страхованию;Касимов Серафим Арсениевич;1;60000;москва;4;2;1;1;1;1;1;1;1
9781716;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с VIP-клиентами;Главный менеджер по страхованию;Дудинова Валерия Владленовна;1;75000;москва;4;3;2;3;1;1;2;1;1
9649192;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с VIP-клиентами;Руководитель отдела;Мандрыкин Даниил Феликсович;1;85000;москва;4;3;2;3;1;1;2;1;1
2178848;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с автодилерами;Главный менеджер по страхованию;Орехова Ксения Павеловна;1;100000;москва;4;3;2;3;1;1;2;1;1
7949667;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с автодилерами;Главный менеджер по страхованию;Шабалина Антонина Олеговна;1;550;москва;4;2;2;2;1;1;2;1;3
8406106;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с автодилерами;Главный менеджер по страхованию;Лихачев Дементий Зиновиевич;1;100000;москва;4;2;2;2;1;1;2;1;3
8973012;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с автодилерами;Главный менеджер по страхованию;Кустова Алла Карповна;1;200000;москва;4;3;2;3;1;1;2;1;1
9138782;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с автодилерами;Главный менеджер по страхованию;Иванов Эмиль Дмитриевич;1;100000;москва;4;3;2;3;1;1;2;1;1
7986774;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с автодилерами;Руководитель отдела;Козлаков Платон Артемович;1;115000;москва;4;3;2;3;1;1;2;1;1
7009406;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с нефинансовыми посредниками;Главный менеджер по страхованию;Смолина Евгения Александровна;1;120000;москва;4;3;2;3;1;1;2;3;1
9171401;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с нефинансовыми посредниками;Главный менеджер по страхованию;Карамышева Клара Потаповна;1;70000;москва;4;2;2;2;1;1;2;1;1
9195983;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с нефинансовыми посредниками;Главный менеджер по страхованию;Сиянский Емельян Иннокентиевич;1;90000;москва;4;3;2;3;1;1;2;3;1
2609826;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел по работе с нефинансовыми посредниками;Руководитель отдела;Яковеца Влада Виталиевна;1;200000;москва;5;4;3;3;2;1;3;5;2
518193;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Салагин Георгий Богданович;1;400000;москва;5;5;3;3;2;4;3;5;3
1742582;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Карташов Лавр Вадимович;1;120000;москва;5;3;1;1;1;1;2;1;1
2599460;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Титов Тихон Натанович;1;400000;москва;5;5;3;3;2;4;3;5;3
4307530;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Куроптев Леонид Федорович;1;120000;москва;4;3;2;3;1;1;2;2;2
4598015;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Нечаева Агния Трофимовна;1;100000;москва;4;3;2;3;1;1;2;2;2
5584979;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Серёгина Таисия Антониновна;1;160000;москва;5;3;1;1;1;1;2;1;1
5794989;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Нустров Платон Эрнстович;1;115000;москва;4;2;2;2;1;1;2;1;1
5972458;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Эзрина Анисья Брониславовна;1;100000;москва;4;3;2;3;1;1;2;2;2
9765238;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Главный специалист;Митрохин Ефрем Даниилович;1;100000;москва;4;3;2;3;1;1;2;2;2
6878849;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Заместитель руководителя отдела;Баландина Розалия Ростиславовна;1;140000;москва;4;2;2;2;1;1;2;1;1
742373;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Методолог;Сластникова Злата Яновна;1;92000;москва;4;3;1;1;1;1;2;1;1
941163;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Методолог;Шишкина Владлена Андрияновна;1;115000;москва;2;3;1;1;1;1;2;1;1
2782218;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Методолог;Славаков Мирон Маркович;1;69000;москва;2;3;1;1;1;1;2;1;1
179220;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Руководитель отдела;Дудко Вацлав Ростиславович;1;250000;москва;5;4;2;3;2;1;2;4;4
986732;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Специалист;Селиванова Варвара Алексеевна;1;150000;москва;5;4;2;3;2;1;2;4;4
6007149;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития дистанционных продаж;Специалист;Коржаева Лариса Данииловна;1;300000;москва;5;4;2;3;2;1;2;4;4
8720142;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития, анализа и методологии продаж;Аналитик;Яцевич Всеслав Фролович;1;70000;москва;2;2;1;1;1;1;2;1;1
1422796;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития, анализа и методологии продаж;Ведущий аналитик;Трибой Александра Иларионовна;1;115000;москва;2;2;1;1;1;1;2;1;1
9488736;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел развития, анализа и методологии продаж;Руководитель отдела;Бушмелева Лилия Ипполитовна;1;130000;москва;4;3;2;3;1;1;2;1;1
2072887;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел страхования путешествующих;Главный менеджер по страхованию;Кузинкова Юлия Мироновна;1;75000;москва;4;3;2;3;1;1;2;3;3
5567953;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел страхования путешествующих;Главный менеджер по страхованию;Набокин Адриан Михеевич;1;75000;москва;4;3;2;3;1;1;2;3;3
5617072;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел страхования путешествующих;Главный менеджер по страхованию;Шатова Вера Семеновна;1;60000;москва;4;2;1;1;1;1;2;1;1
6169846;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел страхования путешествующих;Главный менеджер по страхованию;Быстрова Арина Олеговна;1;100000;москва;4;3;2;3;1;1;2;3;3
5164649;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел страхования путешествующих;Менеджер по страхованию;Зыльков Денис Александрович;1;25000;москва;4;1;1;1;1;1;1;3;3
8280379;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел страхования путешествующих;Менеджер по страхованию;Вишнякова Валерия Юлиевна;0,5;30000;москва;4;2;1;1;1;1;2;1;1
8913791;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел страхования путешествующих;Менеджер по страхованию;Чичеров Ираклий Панкратиевич;0,6;36000;москва;4;2;1;1;1;1;2;1;1
1254530;Головная компания;Блок развития бизнеса;Департамент розничного страхования;Отдел страхования путешествующих;Руководитель отдела;Северина Ирина Олеговна;1;120000;москва;4;3;2;3;1;1;2;3;3
5624898;Головная компания;Блок развития бизнеса;Департамент розничного страхования;;Заместитель руководителя департамента;Чумакова Христина Романовна;1;600000;москва;6;5;3;3;4;4;3;5;4
5842136;Головная компания;Блок развития бизнеса;Департамент розничного страхования;;Руководитель департамента;Панфёрова Светлана Игоревна;1;350000;москва;5;4;3;3;2;4;3;5;5
5845601;Головная компания;Блок развития бизнеса;;;Вице-президент;Кабалкин Михей Александрович;1;370000;москва;5;3;1;1;1;1;2;1;1
2054383;Головная компания;Блок развития бизнеса;;;Заместитель вице-президента;Фамусов Мирон Давидович;1;220000;москва;5;3;2;3;1;1;3;4;3
2797601;Головная компания;Блок развития бизнеса;;;Заместитель вице-президента;Чуличков Эдуард Арсениевич;1;600000;москва;6;4;3;4;1;4;3;1;1
7464981;Головная компания;Блок развития бизнеса;;;Заместитель вице-президента;Парфёнова Роза Алексеевна;1;350000;москва;5;3;2;3;1;1;3;4;3
84091;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Фукин Эрнест Прокофиевич;1;60000;москва;4;2;1;1;1;1;2;1;1
805031;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Ткаченко Бронислав Всеволодович;1;50000;москва;4;2;1;1;1;1;2;1;1
845329;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Сюкосева Наталья Геннадиевна;1;55000;москва;4;2;1;1;1;1;2;1;1
1424430;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Каржов Кузьма Потапович;1;70000;москва;5;3;2;3;1;1;2;1;1
2461161;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Бутусов Валерий Сигизмундович;1;60000;москва;4;2;1;1;1;1;2;1;1
2821865;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Унковский Юлиан Архипович;1;60000;москва;4;3;1;1;1;1;2;1;1
4148338;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Жикин Данила Даниилович;1;60000;москва;4;2;1;1;1;1;2;1;1
4616154;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Уголева Майя Ипполитовна;1;55000;москва;4;2;1;1;1;1;2;1;1
5009267;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Лопатина Юлия Станиславовна;1;80000;москва;4;3;1;1;1;1;2;1;1
5370703;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Янькова Ирина Владиленовна;1;80000;москва;4;3;1;1;1;1;2;1;1
5623825;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Перова Майя Марковна;1;60000;москва;4;3;1;1;1;1;2;1;1
6022137;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Домышева Фаина Германовна;1;100000;москва;4;3;1;1;1;1;2;1;1
6552217;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Покалюка Эвелина Георгиевна;1;70000;москва;4;3;1;1;1;1;2;1;1
6773392;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Коромыслова Анисья Мефодиевна;1;55000;москва;4;2;1;1;1;1;2;1;1
7267175;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Черниенко Аристарх Михеевич;1;60000;москва;4;3;1;1;1;1;2;1;1
7395624;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Ожегова Екатерина Якововна;1;50000;москва;4;3;1;1;1;1;2;1;1
8589452;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Агеев Поликарп Зиновиевич;1;55000;москва;4;2;1;1;1;1;2;1;1
9707949;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Главный специалист;Шувалова Инна Афанасиевна;1;55000;москва;4;3;1;1;1;1;2;1;1
53103;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Заместитель руководителя отдела;Нечаева Эмма Мироновна;1;120000;москва;5;3;2;3;1;1;2;1;1
1661449;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Заместитель руководителя отдела;Семянин Анатолий Михаилович;1;140000;москва;5;3;2;3;1;1;2;1;1
3859434;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Руководитель отдела;Калинин Демьян Фомевич;1;185000;москва;5;4;3;3;4;3;2;1;2
203939;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Специалист;Пряхина Яна Анатолиевна;1;55000;москва;2;2;1;1;1;1;2;1;1
725922;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Специалист;Фаммуса Римма Кузьмевна;1;50000;москва;2;2;1;1;1;1;1;1;1
3359437;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Специалист;Соловаьева Светлана Ильевна;1;55000;москва;2;2;1;1;1;1;2;1;1
5484319;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Специалист;Крутов Прокл Миронович;1;60000;москва;2;2;1;1;1;1;2;1;1
7056955;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Специалист;Курбанова Любава Кузьмевна;1;50000;москва;2;2;1;1;1;1;2;1;1
8123980;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел административного сопровождения договоров ДМС;Специалист;Аминев Венедикт Никонович;1;60000;москва;2;2;1;1;1;1;2;1;1
1506191;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Главный специалист;Ткаченко Милена Фомевна;1;65000;москва;4;2;1;1;1;1;2;1;1
2708720;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Главный специалист;Фролов Самуил Епифанович;1;65000;москва;4;2;1;1;1;1;2;1;1
3104021;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Главный специалист;Абрамов Всеслав Потапович;1;55000;москва;4;2;1;1;1;1;2;1;1
3713321;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Главный специалист;Луговой Кристина Федоровна;1;65000;москва;4;3;2;3;1;1;2;1;1
4236281;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Главный специалист;Фадеев Владлен Викентиевич;1;70000;москва;4;2;1;1;1;1;2;1;1
4848864;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Главный специалист;Щеголяев Ефрем Самуилович;1;65000;москва;4;3;2;3;1;1;2;1;1
5625252;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Главный специалист;Чилаева Людмила Василиевна;1;65000;москва;4;3;2;3;1;1;2;1;1
1453334;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Заместитель руководителя отдела;Бакаринцев Моисей Назарович;1;120000;москва;5;4;2;3;1;1;3;2;2
1968624;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Заместитель руководителя отдела;Сарнычев Иннокентий Прокофиевич;1;110000;москва;5;4;2;3;1;1;3;2;2
8893278;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел по работе с провайдерами медицинских услуг;Руководитель отдела;Федулова Наталья Георгиевна;1;250000;москва;5;4;3;3;2;3;2;3;3
715443;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Главный менеджер по страхованию;Букова Софья Елисеевна;1;65000;москва;2;2;1;1;1;1;1;1;1
1486916;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Главный менеджер по страхованию;Лужкова Бронислава Евгениевна;1;65000;москва;2;2;1;1;1;1;1;1;1
2467202;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Главный менеджер по страхованию;Богатов Поликарп Алексеевич;1;100000;москва;4;2;1;1;2;1;1;1;1
6996515;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Главный менеджер по страхованию;Потапова Валентина Серафимовна;1;65000;москва;2;2;1;1;1;1;1;1;1
1325532;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Главный специалист;Ельцин Денис Валерьянович;1;70000;москва;3;3;2;1;1;1;2;2;1
4247127;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Главный специалист;Сапогов Аристарх Филимонович;1;90000;москва;3;3;2;1;1;1;2;2;1
7522844;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Главный специалист;Лялюшкина Лариса Антониновна;1;90000;москва;3;3;2;1;1;1;2;2;1
8889229;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Главный специалист;Икрамов Владилен Казимирович;1;100000;москва;3;3;2;1;1;1;2;2;1
2522774;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Заместитель руководителя отдела;Жабин Пимен Елисеевич;1;184000;москва;3;3;2;1;1;1;2;2;1
205587;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Менеджер по страхованию;Торопова Ольга Василиевна;1;60000;москва;2;2;1;1;1;1;1;1;1
1901305;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Менеджер по страхованию;Яговкина Алина Ивановна;1;60000;москва;2;2;1;1;1;1;1;1;1
4376817;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Менеджер по страхованию;Филенков Леонид Серафимович;1;60000;москва;2;2;1;1;1;1;1;1;1
2268844;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Руководитель отдела;Шагидзянова Екатерина Ипполитовна;1;120000;москва;4;2;1;1;2;1;1;1;1
2834168;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел поддержки продаж ДМС;Руководитель отдела;Копейкин Август Федосиевич;1;300000;москва;3;4;1;1;2;1;3;3;1
4700971;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел прямых продаж;Главный менеджер по страхованию;Костина Злата Афанасиевна;1;170000;москва;2;3;1;2;1;1;2;3;2
4833005;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел прямых продаж;Главный менеджер по страхованию;Рогозин Клавдий Родионович;1;150000;москва;2;3;1;2;1;1;2;3;2
7342804;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел прямых продаж;Главный менеджер по страхованию;Талызина Ефросиния Филипповна;1;100000;москва;2;3;1;2;1;1;2;3;2
8086097;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел прямых продаж;Главный менеджер по страхованию;Стаина Инесса Владленовна;1;130000;москва;2;3;1;2;1;1;2;3;2
4419235;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел прямых продаж;Менеджер по страхованию;Колосов Савелий Геннадиевич;1;45000;москва;2;2;1;1;1;1;1;1;1
7314052;Головная компания;Блок управления продажами;Департамент добровольного медицинского страхования;Отдел прямых продаж;Менеджер по страхованию;Боварин Егор Яковович;1;45000;москва;2;2;1;1;1;1;1;1;1
